,token,token_count,percent_dist,log_percent_dist
304,speaking,2,1.0686615014694095e-05,-11.44651853277263
307,confederacy,4,2.137323002938819e-05,-10.753371352212685
308,then,70,0.00037403152551429336,-7.891170471283216
309,owned,22,0.00011755276516163505,-9.04862325997426
316,States,86,0.0004595244456318461,-7.685318417079067
317,respectively,2,1.0686615014694095e-05,-11.44651853277263
321,within,40,0.00021373230029388192,-8.450786259218638
322,their,132,0.0007053165909698103,-7.256863790746205
323,limits,14,7.480630510285867e-05,-9.500608383717317
330,territory,54,0.00028853860539674057,-8.150681666768302
331,beyond,8,4.274646005877638e-05,-10.06022417165274
333,strict,2,1.0686615014694095e-05,-11.44651853277263
334,State,50,0.0002671653753673524,-8.22764270790443
337,Virginia,10,5.343307507347048e-05,-9.83708062033853
338,thus,20,0.00010686615014694096,-9.143933439778584
341,North-Western,2,1.0686615014694095e-05,-11.44651853277263
343,--,240,0.0012823938017632916,-6.659026789990584
344,-the,9,4.808976756612343e-05,-9.942441135996356
346,out,44,0.0002351055303232701,-8.355476079414315
350,principal,4,2.137323002938819e-05,-10.753371352212685
353,Ohio,12,6.411969008816458e-05,-9.654759063544574
356,Indiana,6,3.205984504408229e-05,-10.34790624410452
359,Illinois,38,0.0002030456852791878,-8.502079553606189
362,Michigan,2,1.0686615014694095e-05,-11.44651853277263
365,Wisconsin,4,2.137323002938819e-05,-10.753371352212685
368,since,18,9.617953513224687e-05,-9.24929395543641
369,been,58,0.0003099118354261288,-8.079222702786156
370,formed,10,5.343307507347048e-05,-9.83708062033853
372,She,4,2.137323002938819e-05,-10.753371352212685
375,(,12,6.411969008816458e-05,-9.654759063544574
378,her,34,0.00018167245524979963,-8.613305188716414
381,),12,6.411969008816458e-05,-9.654759063544574
387,into,86,0.0004595244456318461,-7.685318417079067
391,Kentucky,4,2.137323002938819e-05,-10.753371352212685
393,North,24,0.00012823938017632916,-8.961611882984629
394,Carolina,18,9.617953513224687e-05,-9.24929395543641
399,now,77,0.0004114346780657227,-7.795860291478891
403,Tennessee,2,1.0686615014694095e-05,-11.44651853277263
406,South,32,0.00017098584023510552,-8.673929810532849
409,Georgia,2,1.0686615014694095e-05,-11.44651853277263
412,separate,2,1.0686615014694095e-05,-11.44651853277263
413,parts,4,2.137323002938819e-05,-10.753371352212685
417,are,171,0.0009137055837563451,-6.998002156829915
419,Mississippi,10,5.343307507347048e-05,-9.83708062033853
421,Alabama,4,2.137323002938819e-05,-10.753371352212685
423,Connecticut,2,1.0686615014694095e-05,-11.44651853277263
430,little,18,9.617953513224687e-05,-9.24929395543641
431,remaining,14,7.480630510285867e-05,-9.500608383717317
436,-being,3,1.6029922522041144e-05,-11.041053424664465
438,same,44,0.0002351055303232701,-8.355476079414315
439,where,28,0.00014961261020571734,-8.807461203157372
440,they,232,0.0012396473417045151,-6.692928341666265
442,send,4,2.137323002938819e-05,-10.753371352212685
443,Giddings,2,1.0686615014694095e-05,-11.44651853277263
445,Congress,42,0.00022441891530857602,-8.401996095049206
448,beat,2,1.0686615014694095e-05,-11.44651853277263
450,creation,2,1.0686615014694095e-05,-11.44651853277263
452,making,12,6.411969008816458e-05,-9.654759063544574
453,cheese,2,1.0686615014694095e-05,-11.44651853277263
455,These,14,7.480630510285867e-05,-9.500608383717317
456,territories,32,0.00017098584023510552,-8.673929810532849
458,together,12,6.411969008816458e-05,-9.654759063544574
459,with,176,0.0009404221212930804,-6.969181718294423
462,themselves,20,0.00010686615014694096,-9.143933439778584
464,constituted,4,2.137323002938819e-05,-10.753371352212685
468,over,22,0.00011755276516163505,-9.04862325997426
473,claimed,4,2.137323002938819e-05,-10.753371352212685
475,sort,10,5.343307507347048e-05,-9.83708062033853
477,jurisdiction,2,1.0686615014694095e-05,-11.44651853277263
479,We,32,0.00017098584023510552,-8.673929810532849
480,were,78,0.00041677798557306973,-7.7829568866429835
482,living,4,2.137323002938819e-05,-10.753371352212685
